pitch_type,stand,pitcher,p_throws,release_speed,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_extension
SL,R,Luis Castillo,R,-1.2892786197600237,-0.5721474588165376,2.4360954349452837,-1.8536565575399266,0.5661873323126756,-1.169000780361747,0.7142572501726828,-0.40829180544934857,0.40530456318621394,1.2978093025350326,1.396274889302918,0.47569730671593735,-1.2777023795990607,-1.2584076551029784,-1.4899455016936336,-2.5345678756380643
FF,R,Luis Castillo,R,0.9480181013213282,-0.5142843038001769,0.4934750139993275,-1.7120329124508045,-0.7532253588714104,0.4205138933534674,1.395921870635163,0.08458397436996348,1.1815908452066222,-0.9119103890249457,0.17803504665718964,-0.9060518318597092,1.1512114363074033,0.43445467581301067,0.7594291489059317,-0.47195987784980703
FF,R,Luis Castillo,R,0.9832511205509563,-0.614229753373891,1.3821205257086495,-1.6648250307544317,-0.5780820812806025,0.3042079416182077,0.690751573605011,0.525026160591477,0.937844082794971,-0.9508995585268221,0.6179086146552445,-0.6951254341478791,1.1936032309589868,0.26606752397679573,0.6754972589581867,-1.2970030769651106
KC,R,Gerrit Cole,R,-0.9897979563081887,-0.6089694665542217,0.5968058874538941,-0.6026476925860229,1.7338091829180615,-2.3449831812404827,1.2196292963776252,0.6089199103479553,0.31605329329116516,1.0000638755959685,2.281803079011554,1.4006717177449977,-0.5551735108458399,-2.287305209189032,-1.0534996739653604,-0.6782206776286339
FF,R,Luis Castillo,R,0.8599355532472593,-0.587928319275545,1.5681160979268722,-1.5232013856653115,-0.7999302328956257,0.5497427286148667,0.8200327947272056,0.09507069308952357,1.0124134799653595,-0.833759395724483,0.0888675610660305,-0.9021863274527607,0.8689148169738836,0.530517926309373,0.5579926130313455,-1.5032638767439357
CH,R,Gerrit Cole,R,-0.35560361017489317,-0.6405311874722367,-1.55247628040121,-1.0983304503979467,-0.5780820812806025,0.5109740780364471,-0.7901060501583081,-0.9536011788664601,0.3856523785568186,0.34238533803516985,-0.5460359728260171,-0.5259237968597444,0.5312687853315395,0.3936999380351711,-0.1973943964983597,1.5906481199384501
FF,R,Gerrit Cole,R,1.5469794282249982,-0.614229753373891,-0.22984110018268214,-0.4374201066487164,-0.8116064514016796,0.7823546320853861,0.3851777782252786,0.7557339724217932,0.9846817999933297,-1.5422054885146392,-0.17619839230731263,-1.0559829473336628,1.537012587455067,0.9978236804996815,1.4644570244669903,0.14682252148666972
FF,R,Luis Castillo,R,1.141799707084279,-0.5405857378985226,1.6714469713814535,-1.2163501546388806,-0.6364631738108717,0.5885113791932867,2.5124415075995707,-0.20904414977771174,1.5649652772878566,-1.067225889957282,-0.3858909832726599,-0.833059698389987,1.0666015943701785,0.642863283016462,0.7594291489059317,-1.7095246765227625
KC,R,Gerrit Cole,R,-0.9369484274637477,-0.5984488929148833,0.4934750139993275,-0.31940040240778045,1.768837838436223,-2.629286618815562,-0.10844142969582782,-0.49218555520582735,-0.1334335388195877,0.9302059334274908,1.4997895931767484,1.4800295938877115,0.1965655509933752,-2.4829847938889564,-1.0367132959758099,-0.47195987784980703
CH,R,Luis Castillo,R,-0.6198512543971001,-0.5984488929148833,0.5554735380720733,-2.042488084325422,-1.4070935952104264,-0.9622346439435078,0.06785114456171018,-1.0584683660620586,0.8183813395740147,0.6438004753624947,0.6658230528843317,-1.1961768382445925,-0.037822826340412716,-1.0492633004152205,-0.7345584921639283,-0.47195987784980703
SL,L,Gerrit Cole,R,0.04957611096582598,-0.6826134820295899,0.4314764899265818,-0.46102404749690273,0.9748549800245607,-0.9105431098389479,0.5144589993474731,-1.3730699276488534,0.41047733719827695,-0.06317047503128313,-0.48711473362063257,0.902301908179773,-0.9683763295478427,-0.9517975204571859,0.08797402932397148,-0.47195987784980703
FT,R,Luis Castillo,R,1.0361006493953973,-0.6089694665542217,0.9481308571994437,-1.7592407941471793,-1.5705606542951807,-0.5357794875808892,0.009086953142530845,-1.3730699276488534,1.0034110138256818,-0.9971366065579086,-0.5154709067909017,-1.7214118078439884,1.5710384312090122,-0.5249009595119959,0.7426427709163836,-0.8844814774074589
FF,L,Gerrit Cole,R,1.7055280147583207,-0.6720929083902516,-0.16784257610993636,-0.4374201066487164,-0.44964367771401004,0.795277515611526,0.7495157650241904,-0.37683164929066926,1.0658157227840792,-1.6743786429886622,-1.2337261468822833,-0.6797244656822373,2.002759232799522,1.114931623115081,1.5651752924042859,0.14682252148666972
SL,R,Luis Castillo,R,-0.7431668217007946,-0.6405311874722367,1.3407881763268141,-1.7592407941471793,0.3793678362158139,-0.9363888768912279,-0.40226238679172444,-1.7086449266747685,0.1880489699739253,0.7588563913682967,0.10382334365189183,0.3494090865247652,0.04587896577700484,-0.9917284678719647,-0.9359950280385169,-1.2970030769651106
KC,L,Gerrit Cole,R,-1.0074144659230013,-0.645791474291906,0.8861323331266979,-0.27219252071140776,1.8856000234967618,-2.332060297714343,-0.14369994454733542,1.0598488152890284,-0.14007747659410394,1.0171370839417693,2.5216859221249743,1.5515146952439691,-0.08353997659101235,-2.282661971844002,-1.1374315639131054,-0.8844814774074589
FF,R,Homer Bailey,R,0.6661539474843087,-0.719435489767274,-1.3664807081829873,0.3887178230378247,-0.367910148171633,0.5109740780364471,-0.4845322547785755,1.2066628773628663,0.5557189462756795,-0.6982559292789913,0.2990067646785889,-0.4330535846305023,0.3905883384926555,0.5296624768036176,0.8601474168432272,1.3843873201596233
